21:13:14.063 -> angle read:11.00 | controller signal:1361.50 | 
21:13:14.097 -> angle read:11.00 | controller signal:1361.50 | 
21:13:14.164 -> angle read:10.00 | controller signal:1379.00 | 
21:13:14.197 -> angle read:10.00 | controller signal:1379.00 | 
21:13:14.264 -> angle read:9.00 | controller signal:1379.00 | 
21:13:14.298 -> angle read:8.00 | controller signal:1410.70 | 
21:13:14.368 -> angle read:9.00 | controller signal:1410.70 | 
21:13:14.402 -> angle read:9.00 | controller signal:1410.70 | 
21:13:14.437 -> angle read:9.00 | controller signal:1405.30 | 
21:13:14.505 -> angle read:9.00 | controller signal:1405.30 | 
21:13:14.540 -> angle read:9.00 | controller signal:1405.30 | 
21:13:14.607 -> angle read:9.00 | controller signal:1411.90 | 
21:13:14.641 -> angle read:9.00 | controller signal:1411.90 | 
21:13:14.676 -> angle read:11.00 | controller signal:1392.30 | 
21:13:14.745 -> angle read:11.00 | controller signal:1392.30 | 
21:13:14.779 -> angle read:12.00 | controller signal:1392.30 | 
21:13:14.847 -> angle read:11.00 | controller signal:1396.70 | 
21:13:14.880 -> angle read:13.00 | controller signal:1396.70 | 
21:13:14.948 -> angle read:13.00 | controller signal:1374.90 | 
21:13:14.982 -> angle read:14.00 | controller signal:1374.90 | 
21:13:15.050 -> angle read:14.00 | controller signal:1374.90 | 
21:13:15.085 -> angle read:14.00 | controller signal:1364.00 | 
21:13:15.154 -> angle read:14.00 | controller signal:1364.00 | 
21:13:15.189 -> angle read:14.00 | controller signal:1364.00 | 
21:13:15.224 -> angle read:14.00 | controller signal:1365.10 | 
21:13:15.292 -> angle read:14.00 | controller signal:1365.10 | 
21:13:15.326 -> angle read:12.00 | controller signal:1392.40 | 
21:13:15.394 -> angle read:13.00 | controller signal:1392.40 | 
21:13:15.429 -> angle read:12.00 | controller signal:1392.40 | 
21:13:15.497 -> angle read:12.00 | controller signal:1395.70 | 
21:13:15.532 -> angle read:11.00 | controller signal:1395.70 | 
21:13:15.599 -> angle read:11.00 | controller signal:1412.10 | 
